order_id,customer_id,customer_email,order_date,order_total,quantity,status,category
ORD-000000,CUST-0012,bob851@gmail.com,2024-04-27 00:00:00,67.29,16,pending,Home
ORD-000001,CUST-0171,eve305@yahoo.com,2024-01-22 00:00:00,13.84,17,returned,Sports
ORD-000002,CUST-0056,diana586@yahoo.com,2024-09-27 00:00:00,16.77,19,cancelled,Food
ORD-000003,CUST-0183,bob516@gmail.com,2024-04-10 00:00:00,46.02,1,pending,Sports
ORD-000004,CUST-0059,grace105@gmail.com,2024-05-27 00:00:00,20.09,7,pending,Clothing
ORD-000005,CUST-0087,,2024-07-04 00:00:00,70.13,10,shipped,Electronics
ORD-000006,CUST-0132,diana339@yahoo.com,2024-09-06 00:00:00,233.38,8,pending,Home
ORD-000007,CUST-0026,,2024-07-19 00:00:00,10.79,11,cancelled,Electronics
ORD-000008,CUST-0111,grace307@yahoo.com,2024-04-26 00:00:00,17.45,8,completed,Clothing
ORD-000009,CUST-0101,hank525@company.com,2024-09-04 00:00:00,72.54,13,returned,Electronics
ORD-000010,CUST-0156,alice633@yahoo.com,2024-02-20 00:00:00,67.16,614,cancelled,Electronics
ORD-000011,CUST-0199,grace650@company.com,2024-03-02 00:00:00,23.87,2,cancelled,Electronics
ORD-000012,CUST-0133,eve902@yahoo.com,2024-12-11 00:00:00,80.05,3,returned,Clothing
ORD-000013,CUST-0082,diana75@company.com,2024-05-18 00:00:00,32.25,14,returned,Clothing
ORD-000014,CUST-0081,bob114@gmail.com,2024-11-01 00:00:00,29.3,5,pending,Clothing
ORD-000015,CUST-0084,grace417@gmail.com,2024-12-08 00:00:00,8.25,974,cancelled,Home
ORD-000016,CUST-0162,frank968@company.com,2024-11-19 00:00:00,16.85,11,pending,Books
ORD-000017,CUST-0064,eve636@gmail.com,2024-09-15 00:00:00,49.57,2,shipped,Food
ORD-000018,CUST-0034,hank346@gmail.com,2024-01-01 00:00:00,124.19,6,pending,Food
ORD-000019,CUST-0067,grace874@gmail.com,2024-07-20 00:00:00,15.69,6,shipped,Food
ORD-000020,CUST-0005,eve984@company.com,2024-07-28 00:00:00,133.84,6,completed,Electronics
ORD-000021,CUST-0022,diana649@gmail.com,2024-09-20 00:00:00,60.59,6,cancelled,Sports
ORD-000022,CUST-0018,alice85@yahoo.com,2024-11-29 00:00:00,29.84,19,shipped,Sports
ORD-000023,CUST-0154,eve238@gmail.com,2024-09-25 00:00:00,19.09,4,completed,Books
ORD-000024,CUST-0144,diana37@gmail.com,2024-09-10 00:00:00,41.84,9,returned,Electronics
ORD-000025,CUST-0139,grace762@company.com,2024-05-05 00:00:00,5.06,15,pending,Electronics
ORD-000026,CUST-0092,hank712@company.com,2024-05-20 00:00:00,6.45,2,completed,Electronics
ORD-000027,CUST-0143,charlie382@company.com,2024-09-09 00:00:00,10.87,14,shipped,Clothing
ORD-000028,CUST-0033,,2024-10-26 00:00:00,10.8,13,cancelled,Food
ORD-000029,CUST-0180,,2024-12-22 00:00:00,17.64,14,returned,Home
ORD-000030,CUST-0100,charlie514@yahoo.com,2024-01-15 00:00:00,148.04,18,returned,Clothing
ORD-000031,CUST-0187,charlie610@outlook.com,2024-03-14 00:00:00,13.03,6,completed,Electronics
